,name,stars,address,state,WI,NY,SC,PA,hours,sunday,sunday_close_time,by_appointment_only,restaurant_price,categories,first_category,restaurant
0,Farley's House of Pianos,,6522 Seybold Rd,WI,1,0,0,0,"{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '12:0-16:0'}",12:0-16:0,16:0,0,3,"Musical Instruments & Teachers, Shopping, Local Services, Musical Instrument Services, Piano Stores",Musical Instruments & Teachers,0
1,Les Branchés Lunetterie,,1821 avenue Mont-Royal Est,QC,0,0,0,0,"{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-18:0'}",10:0-18:0,18:0,0,3,"Health & Medical, Shopping, Optometrists, Eyewear & Opticians",Health & Medical,0
2,Celas's Pizza,,5510 W Camelback Rd,AZ,0,0,0,0,"{'Monday': '0:0-0:0', 'Tuesday': '13:0-20:45', 'Wednesday': '13:0-20:45', 'Thursday': '13:0-20:45', 'Friday': '13:0-21:45', 'Saturday': '13:0-21:45'}",,,0,1,"Restaurants, Chicken Wings, Mexican, Pizza",Restaurants,0
3,K Fashion,,2835 N 16th St,AZ,0,0,0,0,"{'Monday': '11:0-19:30', 'Tuesday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30', 'Saturday': '10:0-19:30', 'Sunday': '12:0-18:30'}",12:0-18:30,18:30,0,0,"Shopping, Fashion, Women's Clothing, Men's Clothing",Shopping,0
4,Lu's Barbershop and Salon,,"7940 Tree Ln, Ste 113",WI,1,0,0,0,,,,2,1,"Barbers, Hair Stylists, Men's Hair Salons, Beauty & Spas, Hair Salons",Barbers,0
5,Ribkens Cpr,,226 Center Rd,PA,0,0,0,1,,,,0,0,"Restaurants, Pizza",Restaurants,0
6,The Skin Center Medical Spa,,806 S Aiken Ave,PA,0,0,0,1,"{'Monday': '10:0-20:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-19:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-15:0'}",,,1,3,"Laser Hair Removal, Beauty & Spas, Hair Removal, Skin Care, Vascular Medicine, Medical Spas, Health & Medical, Doctors, Cosmetic Surgeons",Laser Hair Removal,0
7,Toronto Oktoberfest,,955 Lake Shore Boulevard W,ON,0,0,0,0,,,,0,0,"Festivals, Arts & Entertainment, Local Flavor",Festivals,0
8,Big Lots,,"9535 S Blvd, Ste C",NC,0,0,0,0,"{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}",8:0-22:0,22:0,0,2,"Fashion, Home & Garden, Shopping, Discount Store, Home Decor, Department Stores, Furniture Stores",Fashion,0
9,Supercuts,,"209 S Stephanie St, Horizon Place Shopping Center",NV,0,0,0,0,"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '8:0-19:0', 'Saturday': '8:0-19:0', 'Sunday': '9:0-19:0'}",9:0-19:0,19:0,1,1,"Beauty & Spas, Men's Hair Salons, Hair Salons",Beauty & Spas,0
10,Hazel Palpu MD,,7514 E Monterey Way,AZ,0,0,0,0,,,,1,0,"Health & Medical, Psychiatrists, Doctors",Health & Medical,0
11,Gold Mine Bar & Grill,,3950 Koval Ln,NV,0,0,0,0,"{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-22:0'}",7:0-22:0,22:0,0,2,"American (Traditional), Nightlife, Restaurants, Bars",American (Traditional),0
12,Stonelike Refinishing,,,AZ,0,0,0,0,"{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",,,0,0,"Home Cleaning, Damage Restoration, Refinishing Services, Home Services, Contractors",Home Cleaning,0
13,Guerlain Canada,,110 Bloor Street W,ON,0,0,0,0,,,,1,3,"Beauty & Spas, Skin Care, Shopping, Cosmetics & Beauty Supply, Makeup Artists",Beauty & Spas,0
14,Wildburger,,2800 S Rancho Dr,NV,0,0,0,0,"{'Monday': '0:0-12:0', 'Tuesday': '0:0-12:0', 'Wednesday': '0:0-12:0', 'Thursday': '0:0-12:0', 'Friday': '0:0-12:0', 'Saturday': '0:0-12:0', 'Sunday': '0:0-12:0'}",0:0-12:0,12:0,0,1,"Bars, Food, Burgers, Nightlife, American (New), Restaurants",Bars,0
15,Mañana Imports & Gifts,,1132 Kensington Road NW,AB,0,0,0,0,"{'Monday': '10:0-17:30', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-18:0', 'Sunday': '11:0-17:0'}",11:0-17:0,17:0,1,2,"Jewelry, Arts & Crafts, Flowers & Gifts, Gift Shops, Shopping",Jewelry,0
16,Lynn's Cafe & Quality Catering,,800 Broadway Ave,PA,0,0,0,1,,,,0,0,"Event Planning & Services, Caterers",Event Planning & Services,0
17,Mochica,,"280 Concord Pkwy S, Ste 125",NC,0,0,0,0,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",11:0-21:0,21:0,0,1,"Sandwiches, Wraps, Peruvian, Restaurants",Sandwiches,0
18,Diamond Banquet Hall,,"First Markham Place, 3225 Highway 7 E",ON,0,0,0,0,"{'Monday': '9:0-22:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-22:0', 'Thursday': '9:0-22:0', 'Friday': '9:0-22:30', 'Saturday': '9:0-22:30', 'Sunday': '9:0-22:0'}",9:0-22:0,22:0,0,2,"Chinese, Asian Fusion, Event Planning & Services, Venues & Event Spaces, Restaurants, Dim Sum",Chinese,0
19,Sushi On Bloor,,525 Bloor Street W,ON,0,0,0,0,,,,0,2,"Restaurants, Sushi Bars",Restaurants,0
20,Mother Tongue,,348 Adelaide Street W,ON,0,0,0,0,"{'Monday': '11:30-1:0', 'Tuesday': '11:30-1:0', 'Wednesday': '11:30-1:0', 'Thursday': '11:30-1:0', 'Friday': '11:30-2:0', 'Saturday': '11:30-2:0'}",,,2,1,"Asian Fusion, Cocktail Bars, Nightlife, Bars, Restaurants",Asian Fusion,0
